id;date;trend;comment;maintenability_risk_level;maintenability_impact_level;maintenability_main_impact;maintenability_comment;maintenability_action;performance_risk_level;performance_impact_level;performance_main_impact;performance_comment;performance_action;indus_risk_level;indus_impact_level;indus_main_impact;indus_comment;indus_action;security_risk_level;security_impact_level;security_main_impact;security_comment;security_action;skill_risk_level;skill_impact_level;skill_main_impact;skill_comment;skill_action;environnement_risk_level;environnement_impact_level;environnement_main_impact;environnement_comment;environnement_action;operabiltity_risk_level;operabiltity_impact_level;operabiltity_main_impact;operabiltity_comment;operabiltity_action
1;2022-03-30;51974;Home leverage;50856;49787;Contract;supply-chains turn-key;deposit;22975;63314;Image;Computer program green;platforms;64266;72349;HR;Incredible Table;Fantastic Gloves cross-media;72713;83830;Contract;Berkshire index a;Handmade holistic;53151;56857;HR;Champagne-Ardenne Health mindshare;withdrawal Money;12593;82526;Image;c Directeur Public-key;parse;57815;52793;Financial;deposit Bacon Function-based;Chair d'Azur
2;2022-03-29;58573;software Mouse lime;76970;93358;Financial;Assistant port;Lilangeni RSS;65930;13941;Client;Granite Fantastic;pink;78518;59637;Client;B2C;navigate;4159;97333;Client;deposit;compress;4796;86783;Image;Baby Convertible;du Ergonomic;87024;42988;Image;portals Soap;extranet Fantastic c;48335;10746;Contract;Cheese interface Concrete;Loan Avon
3;2022-03-29;88475;Frozen e-enable Switchable;57729;84307;Image;RAM violet array;Electronics;9642;45382;Contract;infomediaries Car Zimbabwe;transmitting;69742;13660;Financial;FTP disintermediate;c;4032;74529;Client;lime;functionalities Fresh;85831;40507;Image;Architecte b;haptic;36704;45376;Financial;Books Kids c;Dauphine Licensed Analyste;85605;58639;HR;connect;partnerships auxiliary
4;2022-03-30;89144;copying redefine;56501;57649;HR;b;microchip de Borders;46294;47491;Client;revolutionary tertiary Franc;CSS;52229;85931;Image;hack a;Unbranded;40874;91993;Client;PNG;b Architecte Home;98409;11314;HR;generate a b;e-markets installation Re-engineered;89492;86004;HR;bricks-and-clicks Soft des;bypassing Electronics Concrete;9010;61393;Financial;program Gorgeous;open-source Irlande
5;2022-03-29;65170;homogeneous Tuna Basse-Normandie;41925;91881;Client;purple generating Sleek;gold Car;61025;72866;Image;Île-de-France Midi-Pyrénées;maroon;94407;92174;HR;quantifying protocol;interactive back-end Fresh;59067;43359;Contract;Industrial;sensor seize digital;66153;47556;Contract;Granite connecting;overriding interface;53709;21789;Financial;compress empower Handcrafted;Tasty strategize relationships;44410;14213;Image;XML virtual Versatile;Bedfordshire
6;2022-03-30;51003;SDD Baby Developpeur;38453;48504;Client;Liechtenstein;Metal exploit;54436;84948;Financial;SMTP Keyboard Chips;Account EXE;68753;39106;Client;Granite maximized XSS;hardware;54542;14724;Client;real-time;b mint;8439;25669;Contract;Shirt Bedfordshire;Lithuanian;4206;43692;Contract;channels;redundant;7558;62417;Contract;Operative programming green;Account functionalities
7;2022-03-29;23328;payment customized Tuna;86718;37177;Image;a de la;HDD Open-architected;20251;20510;HR;programming c;solid Industrial;23464;51984;Contract;Soft Avon Manager;Soft payment de;66796;78360;Contract;generate quantifying program;Ergonomic olive Île-de-France;53481;35716;Contract;Chicken virtual;Kazakhstan Berkshire Cotton;52600;87821;HR;hacking;bus solutions;21010;56142;Contract;EXE Roumanie d'Alésia;Bonaparte Fresh reboot
8;2022-03-29;41371;Denar;36748;3609;HR;SCSI Small Pre-emptive;b;47596;30358;Financial;Alsace Swaziland;Serbie cross-platform experiences;29812;41019;Contract;hardware;du withdrawal access;35679;82887;HR;Sleek;Bedfordshire;18884;77270;Client;index 1080p encompassing;mobile port transform;98287;72707;Client;Wooden Franche-Comté;Concrete;56935;52717;Client;Palladium navigate driver;Electronics cross-media drive
9;2022-03-29;93168;Vaugirard Hat;8962;98685;Contract;utilize Buckinghamshire;Assistant c;50324;84458;Financial;services;Awesome;73531;34370;Financial;Toys;Kip;76618;9135;Image;Incredible Ingenieur driver;Refined d'Alésia Franc;89581;94457;Image;Soft fuchsia;even-keeled Som calculating;19094;53799;Financial;b Small e-enable;Re-engineered contextually-based Borders;63053;33497;Contract;(E.M.U.-6) overriding;Practical Ergonomic
10;2022-03-30;7948;toolset copy index;77228;25058;Financial;1080p alarm;Jewelery;42352;20489;Financial;c magenta optical;Assistant programming c;11119;30523;Financial;Superviseur;complexity Mouse;1646;42745;Image;SCSI;rich deposit;93129;11654;HR;Computer Saint-Vincent-et-les-Grenadines;interactive;81946;81349;Financial;communities HTTP;Money;54121;86529;Financial;b copy Bolivie;transmitter Licensed
