id;bu;sector;vertical;client;project
1;contextually-based Alsace Fresh;Table Moldavie;d'Argenteuil;payment utilize Account;b
2;technologies Soft a;Consultant Bike;Grenade digital;Malagasy de Practical;solution
3;Superviseur index Diverse;a copying;Paris Buckinghamshire Keyboard;Midi-Pyrénées;Picardie a Presbourg
4;magenta;c systemic;c open-source;Jewelery application users;back-end
5;program;input;actuating a quantifying;digital parsing;Berkshire Vision-oriented empowering
6;Small Pakistan a;bluetooth Borders;c;Computer digital matrix;Metal matrix back-end
7;Cross-group compelling;Croatie;vortals;de;teal e-services
8;c schemas;Architecte Metal;mission-critical connect JBOD;exploit;Serbie withdrawal
9;black disintermediate;Buckinghamshire;Handmade bypassing;Borders;Handmade Swiss
10;Architecte;withdrawal;Dauphine Afghanistan Pologne;programming Technicien Organized;initiatives
